time, e0, e1, deflection
7.367000103,-950,-2517,0.0
7.70300006866,-950,-2511,-0.0694374883198
8.03999996185,-924,-2479,-0.0694374883198
8.37599992752,-871,-2417,-0.0743973089141
8.71200013161,-834,-2375,-0.0942365912912
9.04800009727,-796,-2321,-0.0942365912912
9.36899995804,-750,-2275,-0.0694374883198
9.70499992371,-706,-2210,-0.0843169501026
10.0410001278,-663,-2162,-0.0694374883198
10.378000021,-629,-2123,-0.0148794617828
10.6979999542,-604,-2092,0.0
11.0339999199,-579,-2056,-0.00495982059427
11.371999979,-572,-2045,-0.00991964118855
11.7079999447,-568,-2037,-0.0247991029714
12.0429999828,-568,-2037,-0.0297589235656
12.3800001144,-568,-2037,-0.0347187441599
12.7000000477,-575,-2024,-0.163674079611
13.0369999409,-579,-2003,-0.317428518033
13.3729999065,-590,-1979,-0.515821341804
13.7090001106,-593,-1959,-0.634857036067
14.0450000763,-594,-1956,-0.64973649785
14.3659999371,-634,-1987,-0.689415062604
14.7019999027,-682,-2059,-0.699334703793
15.0390000343,-746,-2129,-0.71917398617
15.375,-797,-2196,-0.724133806764
15.7109999657,-864,-2272,-0.709254344981
16.0320000648,-919,-2339,-0.68445524201
16.3680000305,-952,-2386,-0.679495421415
16.7049999237,-985,-2422,-0.64973649785
17.0399999619,-1004,-2442,-0.644776677256
17.3770000935,-1003,-2442,-0.679495421415
17.6970000267,-1014,-2418,-0.882848065781
18.0339999199,-1024,-2396,-1.06140160717
18.370000124,-1030,-2372,-1.23003550738
18.7060000896,-1036,-2353,-1.33915156045
19.0420000553,-1039,-2344,-1.39866940759
19.3789999485,-1016,-2314,-1.40858904877
19.6979999542,-987,-2287,-1.39370958699
20.0360000134,-950,-2249,-1.39866940759
20.3710000515,-909,-2201,-1.3887497664
20.7070000172,-862,-2152,-1.3837899458
21.0299999714,-815,-2098,-1.34907120164
21.381000042,-767,-2046,-1.32923191927
21.7009999752,-725,-1996,-1.29451317511
22.0369999409,-682,-1946,-1.27963371332
22.3740000725,-657,-1918,-1.27467389273
22.6940000057,-645,-1900,-1.27467389273
23.0460000038,-640,-1891,-1.27963371332
23.3830001354,-640,-1891,-1.28459353392
23.7030000687,-640,-1886,-1.34411138105
24.0390000343,-644,-1866,-1.47802653709
24.3759999275,-650,-1833,-1.68137918146
24.6960000992,-650,-1816,-1.79049523453
25.0329999924,-650,-1787,-1.92441039058
25.368999958,-650,-1784,-1.92937021117
25.7049999237,-681,-1815,-1.94920949355
26.0410001278,-731,-1870,-1.96408895533
26.378000021,-778,-1934,-1.95416931414
26.6979999542,-813,-1976,-1.96904877593
27.0339999199,-886,-2045,-2.01368716127
27.3710000515,-938,-2117,-1.99880769949
27.7070000172,-994,-2170,-1.99880769949
28.0439999104,-1033,-2215,-1.9938478789
28.3629999161,-1061,-2239,-2.00376752009
28.7000000477,-1070,-2251,-1.99880769949
29.0360000134,-1074,-2253,-2.06328536722
29.3729999065,-1079,-2231,-2.23687908802
29.7090001106,-1080,-2203,-2.37079424406
30.0460000038,-1084,-2184,-2.50470940011
30.3659999371,-1087,-2164,-2.63862455615
30.7019999027,-1087,-2155,-2.67334330031
31.0390000343,-1057,-2116,-2.69814240328
31.375,-1018,-2078,-2.67334330031
31.7109999657,-971,-2032,-2.6832629415
32.0480000973,-910,-1966,-2.64358437675
32.368999958,-843,-1887,-2.65350401794
32.7039999962,-786,-1827,-2.63366473556
33.0410001278,-724,-1759,-2.54934778546
33.3770000935,-686,-1721,-2.53942814427
33.6979999542,-683,-1708,-2.57414688843
34.0339999199,-680,-1692,-2.66342365912
34.3710000515,-679,-1657,-2.84693702111
34.7060000896,-677,-1615,-3.06516912726
35.0420000553,-671,-1570,-3.26356195103
35.3619999886,-670,-1562,-3.30820033638
35.6979999542,-674,-1561,-3.29828069519
36.0350000858,-693,-1573,-3.32307979816
36.3710000515,-740,-1635,-3.33795925995
36.7090001106,-796,-1691,-3.35779854232
37.0450000763,-848,-1760,-3.35283872173
37.381000042,-899,-1817,-3.35283872173
37.7009999752,-939,-1867,-3.35283872173
38.0380001068,-977,-1907,-3.35283872173
38.3740000725,-1016,-1944,-3.35283872173
38.7100000381,-1053,-1983,-3.34291908054
39.0469999313,-1077,-2009,-3.33795925995
39.367000103,-1087,-2022,-3.32803961876
39.7030000687,-1099,-2033,-3.32803961876
40.0399999619,-1097,-2016,-3.4669145954
40.3759999275,-1097,-1984,-3.64546813679
40.7120001316,-1097,-1956,-3.79426275462
41.0480000973,-1097,-1937,-3.91329844888
41.368999958,-1096,-1914,-4.02737432255
41.7049999237,-1095,-1900,-4.09185199028
42.0420000553,-1089,-1892,-4.10177163146
42.378000021,-1066,-1865,-4.10673145206
42.6979999542,-1014,-1813,-4.08689216968
43.0350000858,-951,-1756,-4.06209306671
43.3710000515,-895,-1691,-4.04721360493
43.7079999447,-839,-1638,-4.02241450196
44.0439999104,-793,-1578,-4.00257521958
44.3789999485,-744,-1531,-3.97281629601
44.7000000477,-692,-1479,-3.91329844888
45.0369999409,-678,-1455,-3.92817791066
45.3729999065,-671,-1446,-3.93313773126
45.6940000057,-668,-1437,-3.96289665482
46.0299999714,-665,-1417,-4.0670528873
46.3659999371,-663,-1387,-4.2406466081
46.7060000896,-649,-1326,-4.44895907306
47.0390000343,-639,-1279,-4.60767333208
47.375,-642,-1276,-4.5927938703
47.6960000992,-689,-1321,-4.63743225565
48.0310001373,-765,-1418,-4.64239207624
48.3680000305,-819,-1485,-4.62255279386
48.7049999237,-872,-1549,-4.63743225565
49.0399999619,-921,-1613,-4.61263315267
49.3770000935,-972,-1671,-4.56799476733
49.6979999542,-1016,-1717,-4.57791440851
50.0339999199,-1046,-1744,-4.5927938703
50.3710000515,-1065,-1767,-4.57295458792
50.7060000896,-1071,-1777,-4.56799476733
51.0420000553,-1072,-1770,-4.6771108204
51.3789999485,-1072,-1740,-4.84574472061
51.6990001202,-1065,-1700,-5.00445897962
52.0360000134,-1062,-1682,-5.09869557091
52.3729999065,-1059,-1674,-5.1135750327
52.7090001106,-1027,-1647,-5.08877592972
53.0439999104,-978,-1593,-5.07885628854
53.381000042,-923,-1545,-5.03917772378
53.7019999027,-863,-1478,-4.99949915903
54.0380001068,-797,-1413,-4.97470005606
54.3740000725,-744,-1347,-4.94494113249
54.7100000381,-690,-1286,-4.93006167071
55.0469999313,-662,-1251,-4.91518220892
55.367000103,-636,-1215,-4.90526256774
55.7039999962,-623,-1202,-4.89534292655
56.0399999619,-619,-1189,-4.94494113249
56.3770000935,-617,-1170,-5.04909736497
56.6960000992,-608,-1128,-5.21277144458
57.0329999924,-593,-1070,-5.38140534479
57.368999958,-582,-1036,-5.47564193608
57.7049999237,-579,-1025,-5.50540085964
58.0420000553,-585,-1026,-5.48556157727
58.3789999485,-664,-1132,-5.5450794244
58.7139999866,-710,-1181,-5.53515978321
59.0350000858,-763,-1246,-5.53019996261
59.3710000515,-812,-1310,-5.5450794244
59.7070000172,-887,-1394,-5.5401196038
60.0439999104,-938,-1455,-5.5401196038
60.364000082,-958,-1481,-5.53019996261
